F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000  1951  1774  0  80   0 - 13289 poll_s pts/1    00:01:20 vi
0 S  1000  2029  1858  0  80   0 - 12847 poll_s pts/3    00:00:00 vi
1 S     0  5164     2  0  80   0 -     0 worker ?        00:00:02 kworker/0:2
4 S     0  6097   887  0  80   0 - 26408 poll_s ?        00:00:00 sshd
5 S  1000  6115  6097  0  80   0 - 26408 poll_s ?        00:00:00 sshd
0 S  1000  6116  6115  0  80   0 -  6569 wait   pts/4    00:00:00 bash
1 S     0  9570     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:2
1 S     0 10486     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:1
1 S     0 10772     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
0 S  1000 10952  1691  0  80   0 -  1051 n_tty_ pts/0    00:00:00 asn1
0 R  1000 10956  6116  0  80   0 -  2504 -      pts/4    00:00:00 ps
